Invoice No.,Date,Customer Name,Customer Id,Customer Type,Customer Type,Rep,CSR,Qty of Items, Ext. Amount,Freight Amount,Ship Via,Ship Via Description,Ship From,Ship to City,Ship to State,Freight Comment
499126,43978,REGENCY LIGHTING,REGENC,DIST,LIGHTING DISTRIBUTOR,FAAS,Maria Hernandez,2,0,0,UPSG,UPS Ground,1PW,Chatsworth,CA,
499127,43978,WOMACK ELECTRIC - WILMINGTON,WOMAWIL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,QUAL,Gabriel O'Reilly,1,200,21,FEDEXG,FedEx Ground,2LA,Wilmington,NC,
499128,43978,REXEL - WILSONVILLE,REXETUA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SOLU,Veronica Garcia,6,644.42,46,FEDEXG,FedEx Ground,2LA,Wilsonville,OR,
499129,43978,"UNBEATABLESALE.COM, INC.",UNBELAK,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,139.9,0,FEDEXG,FedEx Ground,2LA,West Simsbury,CT,FEDEX Account #312721961
499130,43978,BRODWAX LIGHTING,BDWLTG,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,VCER,Verenis Cervantes,1,4.6,0,USPSPP,USPS Parcel Post,2LA,Dover,AR,
499131,43978,"BELLACOR.COM, INC.",BELLMEN,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,20.22,0,FEDEXG,FedEx Ground,2LA,Houston,TX,FedEx Acct: 658318918
499132,43978,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,77.02,0,UPSG,UPS Ground,2LA,La Verne,CA,
499133,43978,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,6.98,0,UPSN,UPS Next Day Air,2LA,Austin,TX,USE UPS ACCT#T3301T
499134,43978,"DOLAN NORTHWEST, LLC",MELEDAL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,1,191.64,0,UPSN,UPS Next Day Air,2LA,Dallas,TX,USE UPS#  89VV03
499135,43978,"DOLAN NORTHWEST, LLC",DOLASEA,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,ZULI,Veronica Garcia,1,5.5,0,UPSG,UPS Ground,2LA,Seattle,WA,USE UPS ACCT#73W307
499136,43978,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,2,19.88,0,UPSG,UPS Ground,2LA,Altadena,CA,USE UPS ACCT#T3301T
499137,43978,FSG LIGHTING - IRVING,FSGLIRV,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,2,435.9,17.5,FEDEXG,FedEx Ground,2LA,Irving,TX,
499138,43978,"DOLAN NORTHWEST, LLC",DOLASEA,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,ZULI,Veronica Garcia,1,10.25,0,UPSG,UPS Ground,2LA,Seattle,WA,USE UPS ACCT#73W307
499139,43978,GRAINGER SOURCING,GRAINSO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,DDCA,Karine Adrien,1,58.5,0,UPSG,UPS Ground,2LA,Cincinnati,OH,SHIP UPS 591E2W
499140,43978,RENZE DISPLAY,RENZOMA,EXHI,EXHIBIT HOUSE,DEND,Dee Erdei,3,221.7,0,FEDEXG,FedEx Ground,2LA,Omaha,NE,FED EX ACCT # 068107067
499141,43978,GRANITE CITY - QUINCY,GRANQUI,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,ESSL,Verenis Cervantes,8,5992,193,FEDEXG,FedEx Ground,2LA,Holbrook,MA,
499142,43978,BORDER STATES - KANSAS CITY,BORDKCI,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MIKE,Veronica Garcia,13,9891.25,199,FEDEXG,FedEx Ground,2LA,N. Kansas City,MO,"THIS ORDER IS FREIGHT ALLOWED.  FREIGHT CAN BE   
DEDUCTED IF PAYMENT IS RECEIVED WITHIN TERMS"
499143,43978,REGENCY LIGHTING,REGENC,DIST,LIGHTING DISTRIBUTOR,FAAS,Maria Hernandez,12,593.48,0,UPSG,UPS Ground,2LA,Chatsworth,CA,USE UPS# 535W4E
499144,43978,LIGHTING FRONT,LFROSOA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,2,16.88,0,FEDEXG,FedEx Ground,2LA,Margate,FL,USE FED/X 902651888
499145,43978,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,120.96,0,UPSG,UPS Ground,2LA,Chandler,AZ,
499146,43978,REGENCY LIGHTING,REGENC,DIST,LIGHTING DISTRIBUTOR,FAAS,Maria Hernandez,1,124.95,0,UPSG,UPS Ground,2LA,El Paso,TX,USE UPS# 535W4E
499147,43978,"LIGHTING BY JARED, INC.",LBYJNYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,199.35,0,FEDEXH,FedEx Home Delivery,2LA,South Lake Tahoe,CA,DO NOT CHARGE FREIGHT
499148,43978,LIGHTING JUNGLE,CHUINYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,37.53,19,FEDEXG,FedEx Ground,2LA,Hemphill,TX,
499149,43978,RIO GRANDE LIGHTING & DESIGN,RIOGEPA,REP,CURRENT REP,JSES,Maria Hernandez,2,359.62,40,FEDEXG,FedEx Ground,2LA,El Paso,TX,
499150,43978,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,2.59,0,UPSG,UPS Ground,2LA,Burlington,NC,USE UPS ACCT#T3301T
499151,43978,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,5.18,0,FEDEXG,FedEx Ground,2LA,Parkton,MD,USE FED/X 124454549
499152,43978,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,HSNY,Verenis Cervantes,1,0,0,FEDEXG,FedEx Ground,2LA,Olathe,KS,DO NOT CHARGE FREIGHT
499153,43978,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,5.18,0,FEDEXG,FedEx Ground,2LA,Vernal,UT,USE FED/X 124454549
499154,43978,WILSON LIGHTING-OVERLAND PARK,WILSOVE,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,MIKE,Veronica Garcia,1,197,28.5,FEDEXG,FedEx Ground,2LA,OVERLAND PARK,KS,
499156,43979,"MANHATTAN LIGHTS, INC.",MANHUNI,DIST,LIGHTING DISTRIBUTOR,PBLD,Edwin Ma,1,4248,360,TK-DOT-LINE,DOT-LINE,2LA,Union,NJ,
499157,43979,UNITED LIGHTING,UNITED,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,1,10395,0,PICKUP,Pick Up,1PW,Hackensack,NJ,
499158,43979,"A & E BOWERY LIGHTING, INC.",AEBONYO,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,AYIN,Edwin Ma,4,971.25,0,PICKUP,Pick Up,1PW,New York,NY,
499159,43979,ALADDIN LIGHTING,ALADNYO,RETL,RETAILER - NOT DEPT STORE OR HOME CENTER,AYIN,Edwin Ma,2,408,0,DELIVERY,Delivery,1PW,New York,NY,
499160,43979,IDX LOS ANGELES,IDXONTA,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,FALV,Dee Erdei,1,11.66,0,FEDEXPO,FedEx Priority Overnight,1PW,Ontario,CA,FEDEX ACCT # 324-003-177
499161,43979,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,2,102.14,0,UPSG,UPS Ground,1PW,Tahoma,CA,USE UPS ACCT#T3301T
499162,43979,REXEL CLS HARTFORD,REXEDIS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAM,Dee Erdei,7,50318.45,838.26,FEDEXG,FedEx Ground,1PW,Fort Worth,TX,
499163,43979,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,21.38,0,UPS2,UPS 2nd Day Air,1PW,Oak Island,NC,USE UPS ACCT#T3301T
499164,43979,"LIGHTING BY JARED, INC.",LBYJNYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,14.2,0,FEDEXH,FedEx Home Delivery,1PW,Rockaway,NJ,USE FEDEX ACCT# 876058081    LIGHTHOUSE
499165,43979,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,8.89,0,FEDEXG,FedEx Ground,1PW,Saint Petersburg,FL,USE FED/X 124454549
499166,43979,"LIGHTING BY JARED, INC.",LBYJNYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,34.1,0,FEDEXH,FedEx Home Delivery,1PW,New York,NY,USE FEDEX ACCT# 876058081    LIGHTHOUSE
499167,43979,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,5.36,0,FEDEXG,FedEx Ground,1PW,Durham,NC,USE FED/X 124454549
499168,43979,"INCOLIGHT GROUP, LLC",JNPTJCI,DIST,LIGHTING DISTRIBUTOR,NYCS,Edwin Ma,4,272.36,14.67,FEDEXG,FedEx Ground,1PW,East Hanover,NJ,
499170,43979,CED - RALEIGH,CEDRALE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,QUAL,Gabriel O'Reilly,1,117,15.62,FEDEXG,FedEx Ground,1PW,Raleigh,NC,
499171,43979,"LIGHTING BY JARED, INC.",LBYJNYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,2,30.29,0,FEDEXH,FedEx Home Delivery,1PW,Brooklyn,NY,USE FEDEX ACCT# 876058081    LIGHTHOUSE
499172,43979,EDGES ELECTRICAL - SACRAMENTO,GRANSAC,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,HEMA,Maria Hernandez,1,104.9,13.86,FEDEXG,FedEx Ground,1PW,Sacramento,CA,
499173,43979,,ONE,MISC,ACCOUNT WITH NO CLASSIFICATION,FRFL,Verenis Cervantes,1,242.12,53.48,FEDEXPO,FedEx Priority Overnight,1PW,Capitol Heights,MD,
499174,43979,"LIGHTING BY JARED, INC.",LBYJNYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,11.29,0,FEDEXH,FedEx Home Delivery,1PW,Indianapolis,IN,USE FEDEX ACCT# 876058081    LIGHTHOUSE
499175,43979,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,6.3,0,FEDEXG,FedEx Ground,1PW,Country Club Hills,IL,USE FED/X 124454549
499176,43979,"BELLACOR.COM, INC.",BELLMEN,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,35.46,0,FEDEXH,FedEx Home Delivery,1PW,Oakland,CA,FedEx Acct: 658318918
499177,43979,CAPITAL ELECTRIC - SAVANNAH,CAPISAV,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,ARWI,Verenis Cervantes,1,69.95,12.29,FEDEXG,FedEx Ground,1PW,Savannah,GA,
499178,43979,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,5.4,0,UPSG,UPS Ground,1PW,Acworth,GA,USE UPS ACCT#T3301T
499179,43979,LIGHTING FRONT,LFROSOA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,3,85.88,0,FEDEXG,FedEx Ground,1PW,San Antonio,FL,USE FED/X 902651888
499180,43979,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,131.98,0,FEDEXG,FedEx Ground,1PW,San Ramon,CA,USE FED/X 124454549
499182,43979,"INCOLIGHT GROUP, LLC",JNPTJCI,DIST,LIGHTING DISTRIBUTOR,NYCS,Edwin Ma,2,243.2,10.44,FEDEXG,FedEx Ground,1PW,New York,NY,
499183,43979,LT LIGHTING LLC,LTLIAST,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,AYIN,Edwin Ma,4,269.25,0,PICKUP,Pick Up,1PW,Astoria,NY,
499184,43979,IDX - DAYTON,IDXDAYT,DISW,DISPLAY RETAILER/PRODUCER - WOOD,DEND,Dee Erdei,5,4135,0,FEDEXG,FedEx Ground,1PW,Dayton,OH,FEDEX ACCT # 3453-0023-6
499185,43979,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,4.5,0,FEDEXG,FedEx Ground,1PW,Hialeah,FL,USE FED/X 124454549
499186,43979,LIGHTING JUNGLE,CHUINYO,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,NYCS,Edwin Ma,1,25.88,28.89,FEDEXG,FedEx Ground,1PW,Lynchburg,VA,
499187,43979,ONLY WHOLESALE LIGHTING,ONLYCPO,BULB,LIGHT BULB SPECIALIST - WHOLESALE/RETAIL,AYIN,Edwin Ma,3,109.5,105.45,FEDEXG,FedEx Ground,1PW,Commack,NY,
499188,43979,LENDY ELECTRICAL LTG SHOWROOM,LENDYEL,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,2,592,0,PICKUP,Pick Up,1PW,New York,NY,
499189,43979,WOMACK ELECTRIC - HARRISONBURG,WOMAHAR,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,ODLC,Karine Adrien,4,79.5,138.61,FEDEXG,FedEx Ground,1PW,Harrisonburg,VA,
499190,43979,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,1.58,0,FEDEXG,FedEx Ground,1PW,Littleton,CO,USE FED/X 124454549
499191,43979,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,4.88,0,UPSG,UPS Ground,1PW,Wayland,MA,USE UPS ACCT#T3301T
499192,43979,WISCONSIN BUILT,WISCONB,DISW,DISPLAY RETAILER/PRODUCER - WOOD,DEND,Dee Erdei,2,1482.16,0,UPSG,UPS Ground,1PW,Deerfield,WI,USE UPS# 54789E
499193,43979,D2S INC.,D2STORO,REP,CURRENT REP,SGRO,Karine Adrien,2,231.63,0,UPSSC,UPS Standard To Canada,1PW,OTTAWA,ON,FREIGHT COLLECT TO UPS ACCT# R40674
499194,43979,LIGHTOLOGY,LIGHCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,53.9,0,UPSG,UPS Ground,1PW,Montvale,NJ,UPS ACCOUNT NUMBER W41E70
499195,43979,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,26.35,0,UPSG,UPS Ground,1PW,Lake Placid,NY,USE UPS ACCT#T3301T
499197,43979,CED - RALEIGH,CEDRALE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,QUAL,Gabriel O'Reilly,2,319.2,38.19,UPSG,UPS Ground,1PW,Raleigh,NC,
499198,43979,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,137.59,0,UPSG,UPS Ground,1PW,Suffern,NY,USE UPS ACCT#T3301T
499199,43979,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,2,31.88,0,UPSG,UPS Ground,1PW,Rancho Mirage,CA,USE UPS ACCT#T3301T
499200,43979,"CODALE ELECTRIC SUPPLY, INC.",CODALE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,STSC,Veronica Garcia,1,72,13.86,FEDEXG,FedEx Ground,1PW,Salt Lake City,UT,
499201,43979,FRANK A. FLORENTINE,FRFL,REP,CURRENT REP,REP,Gabriel O'Reilly,7,0,0,FEDEXG,FedEx Ground,1PW,Frametown,WV,DO NOT CHARGE FREIGHT
499202,43979,ZULI LIGHTING,ZULISEA,REP,CURRENT REP,JSES,Veronica Garcia,1,39.52,134.46,FEDEXG,FedEx Ground,1PW,Sequim,WA,
499213,43979,WOLFERS LIGHTING INC,WOLFALL,SHWR,LIGHTING SHOWROOM – SHOWROOM WITHOUT AND ONLINE STORE,ESSL,Verenis Cervantes,12,1924.8,42.87,FEDEXG,FedEx Ground,1PW,Danvers,MA,
499214,43979,"INCOLIGHT GROUP, LLC",JNPTJCI,DIST,LIGHTING DISTRIBUTOR,NYCS,Edwin Ma,9,1668.68,57.49,FEDEXG,FedEx Ground,1PW,Atlantic Highlands,NJ,
499216,43979,DESERT ELECTRIC SUPPLY,DESERT,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,FAAS,Maria Hernandez,1,9.54,0,UPSG,UPS Ground,1PW,Palm Desert,CA,USE UPS# 5259VV
499218,43979,"BELLACOR.COM, INC.",BELLMEN,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,132.22,0,FEDEXH,FedEx Home Delivery,1PW,Houston,TX,
499219,43980,CRESCENT ELECTRIC - PORTLAND,CRESPOR,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SOLU,Veronica Garcia,2,72,0,FEDEXG,FedEx Ground,2LA,Portland,OR,
499220,43980,GRAND ELECTRICAL EQUIP&SUPPLY,GHOME,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,AYIN,Edwin Ma,2,741.9,0,DELIVERY,Delivery,1PW,New York,NY,
499222,43980,ROYAL WHOLESALE ELECTRIC,ROYAORE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,STSC,Veronica Garcia,4,5881.8,32.5,FEDEXG,FedEx Ground,2LA,Springville,UT,"THIS ORDER IS FREIGHT ALLOWED.  FREIGHT CAN BE   
DEDUCTED IF PAYMENT IS RECEIVED WITHIN TERMS"
499226,43980,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,170.88,0,UPSG,UPS Ground,2LA,Gold Canyon,AZ,
499227,43980,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,45.78,0,UPSG,UPS Ground,2LA,New York,NY,
499228,43980,WAYFAIR LLC,WAYFBOS,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Karine Adrien,1,287.7,0,UPSG,UPS Ground,2LA,Jacksonville,FL,
499229,43980,"STANLY FIXTURE, LLC",STANLE,CABI,CABINET / WOOD MAKER,CHES,Manny Estevez,1,30,20,FEDEXG,FedEx Ground,2LA,NORWOOD,NC,
499230,43980,FLECO INDUSTRIES,FLECCAR,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,BEMC,Maria Hernandez,3,367.6,176,FEDEXG,FedEx Ground,2LA,CARROLLTON,TX,
499231,43980,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,26.68,0,FEDEXG,FedEx Ground,2LA,Freehold,NJ,USE FED/X 124454549
499232,43980,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,49.97,0,UPS2,UPS 2nd Day Air,2LA,Bryan,OH,USE UPS ACCT#T3301T
499233,43980,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,28.37,0,UPSG,UPS Ground,2LA,Palos Park,IL,USE UPS ACCT#T3301T
499234,43980,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,48.97,0,UPSG,UPS Ground,2LA,Marion,KY,USE UPS ACCT#T3301T
499235,43980,REXEL CLS HARTFORD,REXEDIS,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,IRAM,Dee Erdei,1,355.5,155,FEDEX2,FedEx 2Day,2LA,Honolulu,HI,
499236,43980,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,4.05,0,FEDEXG,FedEx Ground,2LA,Chicago,IL,USE FED/X 124454549
499237,43980,BELAMI INC DBA 1 STOP LIGHTING,BELASAC,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,11.48,0,FEDEXG,FedEx Ground,2LA,Manassas,VA,USE FED/X 124454549
499238,43980,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,1,59,0,UPSG,UPS Ground,2LA,Patterson,CA,
499239,43980,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,3,367.2,0,UPSG,UPS Ground,2LA,Hazleton,PA,
499240,43980,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,2,25.2,0,UPSG,UPS Ground,2LA,TRACY,CA,
499241,43980,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,1,59,0,UPSG,UPS Ground,2LA,Burlington,NJ,
499242,43980,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,1,59,0,UPSG,UPS Ground,2LA,Lakeland,FL,
499243,43980,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,2,60,0,UPSG,UPS Ground,2LA,Petersburg,VA,
499244,43980,"AMAZON.COM SERVICES, INC.",AMAZSEA,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,HSNY,Karine Adrien,1,59,0,UPSG,UPS Ground,2LA,Coppell,TX,
499245,43980,WERNER ELECTRIC - MADISON,WERNMAD,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MLAZ,Gabriel O'Reilly,1,448,41,FEDEXG,FedEx Ground,2LA,Whitewater,WI,
499246,43980,EXPRESSIVE LIGHTING-ALLENTOWN,EXPRALL,DIST,LIGHTING DISTRIBUTOR,PBLD,Edwin Ma,1,629.7,54,FEDEXG,FedEx Ground,2LA,Metuchen,NJ,
499247,43980,EXPRESSIVE LIGHTING-ALLENTOWN,EXPRALL,DIST,LIGHTING DISTRIBUTOR,PBLD,Edwin Ma,1,676,39,FEDEXG,FedEx Ground,2LA,Metuchen,NJ,
499248,43980,CED/COLUMBIA ELECTRIC,CEDCCHR,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,6,1885.3,54,FEDEXG,FedEx Ground,2LA,Corpus Christi,TX,
499249,43980,CRESCENT ELECTRIC - PORTLAND,CRESPOR,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,SOLU,Veronica Garcia,3,0,12.5,FEDEXG,FedEx Ground,0LA,Portland,OR,
499250,43980,FLECO INDUSTRIES,FLECCAR,ONBC,ONLINE/SHOWROOM “BRICK AND CLICK”,BEMC,Maria Hernandez,5,1768.5,28,FEDEXG,FedEx Ground,2LA,CARROLLTON,TX,
499252,43983,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,8.55,0,UPSG,UPS Ground,2LA,Chicago,IL,USE UPS ACCT#T3301T
499253,43983,"BUILD.COM, INC",BUILCHI,ONLN,ONLINE MARKETER – ONLINE ONLY RETAILER,JGEC,Veronica Garcia,1,2.59,0,UPSG,UPS Ground,2LA,Worcester,MA,USE UPS ACCT#T3301T
499254,43983,CED - TACOMA,CEDTACO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,ZULI,Veronica Garcia,1,52.6,0,UPSG,UPS Ground,2LA,Tacoma,WA,USE UPS ACCT#940374
499255,43983,GRAINGER SOURCING,GRAINSO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,DDCA,Karine Adrien,1,78,0,UPSG,UPS Ground,2LA,Harrodsburg,KY,SHIP UPS 591E2W
499256,43983,GRAINGER,GRAING,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,DEND,Dee Erdei,1,703,0,UPSG,UPS Ground,2LA,Jacksonville,FL,UPS ACCT # 36A74E
499257,43983,"DIACONCA,S.A. DE C.V.",DIACON,DISP,DISPLAY RETAILER/PRODUCER - PLASTIC,JGDI,Maria Hernandez,1,118,17.09,FEDEXG,FedEx Ground,2LA,Laredo,TX,
499258,43983,DOMINION ELECTRIC - CHANTILLY,DOMICHA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,LENV,Verenis Cervantes,3,166.2,24,FEDEXG,FedEx Ground,2LA,Bethesda,MD,
499259,43983,INDEPENDENT ELECTRIC - PHOENIX,INDEPHO,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,WILD,Maria Hernandez,14,13164.7,300,LA-TRUCKING,LA Trucking,2LA,Phoenix,AZ,
499260,43983,WHOLESALE ELECTRIC - LOWELL,WHOLLOW,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,BEMC,Maria Hernandez,8,9317,350,TK-SAIA,SAIA,2LA,Rogers,AR,
499261,43983,BENFIELD ELEC SUPPLY-MT VERNON,BENFMVE,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,NYCS,Edwin Ma,1,698.76,68,FEDEXG,FedEx Ground,2LA,West Nyack,NY,
499262,43984,CED/BALDWIN HALL - SYRACUSE,CEDSYRA,ELEC,ELECTRICAL DISTRIBUTOR  WITH OR WITHOUT SHOWROOM,MOXI,Verenis Cervantes,3,2119.03,239.55,FEDEXG,FedEx Ground,1PW,Syracuse,NY,
